ts,row_type,session,participant,task,phase,block_id,ear,ear_base,ear_thr,blink_count,is_closed,long_close,gaze,gaze_thr,gaze_bias,gaze_offlvl,risk,alert,event,info
1763960354.8379848,frame,,,,train,,0.524249921888366,0.5256044662910531,0.42048357303284245,32,False,False,-0.14998329219603157,0.35,-4.558595267414855,4.519900723411457e-66,0.0012997798503602462,0,,
1763960354.8711152,frame,,,,train,,0.5243282404891798,0.5255406550009594,0.4204325240007675,32,False,False,-0.13675105787312702,0.35,-4.558595267414855,4.0679106510703115e-66,0.0009098458952521723,0,,
1763960354.9011736,frame,,,,train,,0.5290722664037021,0.5257172355710965,0.4205737884568772,32,False,False,-0.12148779126396558,0.35,-4.558595267414855,3.6611195859632806e-66,0.0006368921266765205,0,,
1763960354.9338706,frame,,,,train,,0.5273428525632738,0.5257985164207053,0.42063881313656426,32,False,False,-0.11374751491686386,0.35,-4.558595267414855,3.2950076273669525e-66,0.00044582448867356433,0,,
1763960354.9656558,frame,,,,train,,0.5286253495688953,0.5259398580781147,0.4207518864624918,32,False,False,-0.10691356694629306,0.35,-4.558595267414855,2.965506864630257e-66,0.000312077142071495,0,,
1763960354.997635,frame,,,,train,,0.5280706954013856,0.5260463999442783,0.4208371199554226,32,False,False,-0.09870720283403678,0.35,-4.558595267414855,2.6689561781672317e-66,0.00021845399945004648,0,,
1763960355.0310042,frame,,,,train,,0.5291833646524363,0.5262032481796861,0.4209625985437489,32,False,False,-0.08588235766330854,0.35,-4.558595267414855,2.4020605603505085e-66,0.00015291779961503253,0,,
1763960355.0631888,frame,,,,train,,0.5281550584209309,0.5263008386917484,0.4210406709533987,32,False,False,-0.08209899173478874,0.35,-4.558595267414855,2.1618545043154578e-66,0.00010704245973052276,0,,
1763960355.0945919,frame,,,,train,,0.5314273524704793,0.5265571643806849,0.4212457315045479,32,False,False,-0.08860810545881304,0.35,-4.558595267414855,1.945669053883912e-66,7.492972181136593e-05,0,,
1763960355.1266646,frame,,,,train,,0.5288094998652889,0.526669781154915,0.42133582492393207,32,False,False,-0.08444949925166867,0.35,-4.558595267414855,1.7511021484955207e-66,5.2450805267956145e-05,0,,
1763960355.1738431,frame,,,,train,,0.5257690204966797,0.5266621994189902,0.42132975953519214,32,False,False,-0.07135452417246668,0.35,-4.558595267414855,1.5759919336459686e-66,3.67155636875693e-05,0,,
1763960355.206683,frame,,,,train,,0.5273481700054287,0.5266964979483121,0.4213571983586497,32,False,False,-0.0721493999183549,0.35,-4.558595267414855,1.4183927402813717e-66,2.570089458129851e-05,0,,
1763960355.2378736,frame,,,,train,,0.5307901558215296,0.5269011808419729,0.42152094467357837,32,False,False,-0.08105625504166625,0.35,-4.558595267414855,1.2765534662532346e-66,1.7990626206908954e-05,0,,
1763960355.2691529,frame,,,,train,,0.5283062985294869,0.5269714367263485,0.4215771493810788,32,False,False,-0.07947582281866872,0.35,-4.558595267414855,1.1488981196279112e-66,1.2593438344836267e-05,0,,
1763960355.3018055,frame,,,,train,,0.5348209763422018,0.5273639137071411,0.4218911309657129,32,False,False,-0.07462870765558005,0.35,-4.558595267414855,1.0340083076651201e-66,8.815406841385386e-06,0,,
1763960355.333764,frame,,,,train,,0.5318847987712509,0.5275899579603466,0.42207196636827726,32,False,False,-0.06849406749331965,0.35,-4.558595267414855,9.306074768986082e-67,6.1707847889697694e-06,0,,
1763960355.3651378,frame,,,,train,,0.537120759881313,0.5280664980563949,0.422453198445116,32,False,False,-0.07013013021156134,0.35,-4.558595267414855,8.375467292087474e-67,4.319549352278838e-06,0,,
1763960355.3977475,frame,,,,train,,0.5357725835530825,0.5284518023312292,0.42276144186498343,32,False,False,-0.06724059746546551,0.35,-4.558595267414855,7.537920562878727e-67,3.0236845465951868e-06,0,,
1763960355.4300358,frame,,,,train,,0.5451574539661502,0.5292870849129753,0.4234296679303802,32,False,False,-0.07132670393537666,0.35,-4.558595267414855,6.784128506590855e-67,2.1165791826166305e-06,0,,
1763960355.4621139,frame,,,,train,,0.53464688906489,0.5295567813099724,0.423645425047978,32,False,False,-0.08249579510199379,0.35,-4.558595267414855,6.10571565593177e-67,1.4816054278316413e-06,0,,
1763960355.493483,frame,,,,train,,0.5359408629686071,0.5298759853929041,0.4239007883143233,32,False,False,-0.08136460459312467,0.35,-4.558595267414855,5.495144090338593e-67,1.0371237994821488e-06,0,,
